2016-12-09 12:27:09	0f1c79818040d6247bc7af177e1dabb8.58410007080bc7.62149409	122.212.217.82	122x212x217x82.ap122.ftth.ucom.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2012%3A27%3A09%3A027%22%7D/x.js	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36
2016-12-09 14:06:38	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22detailShow%22%2C%22spot%22%3A%22%EF%BC%9Chttp%3A//data.lodosaka.jp/iswc2016hack/h221%EF%BC%9E%22%2C%22keyword%22%3A%22sightseeing%22%2C%22recipes%22%3A%22%22%2C%22VOD%22%3A%22%22%2C%22time%22%3A%222016-12-09%2014%3A06%3A38%3A301%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:06:46	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22detailShow%22%2C%22spot%22%3A%22%EF%BC%9Chttp%3A//data.lodosaka.jp/iswc2016hack/h178%EF%BC%9E%22%2C%22keyword%22%3A%22sightseeing%22%2C%22recipes%22%3A%22%22%2C%22VOD%22%3A%22V2007248%22%2C%22time%22%3A%222016-12-09%2014%3A06%3A46%3A619%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:06:52	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22vodSelect%22%2C%22keyword%22%3A%22%22%2C%22VOD%22%3A%22V2007248%22%2C%22time%22%3A%222016-12-09%2014%3A06%3A52%3A837%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:07:35	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%22%2C%22time%22%3A%222016-12-09%2014%3A07%3A35%3A607%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:07:42	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A07%3A42%3A188%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:07:45	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22nature%22%2C%22VOD%22%3A%22V2007249%2CV2007259%2CV2007251%2CV2007252%2CV2007254%2CV2007257%2CV2007239%2CV2007261%2CV2007267%2CV2007241%2CV2007246%2CV2007209%22%2C%22time%22%3A%222016-12-09%2014%3A07%3A45%3A047%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:08:00	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A08%3A00%3A514%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:08:02	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A08%3A02%3A528%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:08:17	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A08%3A17%3A783%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:08:20	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.255.68.11	pw126255068011.9.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22nature%22%2C%22VOD%22%3A%22V2007249%2CV2007259%2CV2007251%2CV2007252%2CV2007254%2CV2007257%2CV2007239%2CV2007261%2CV2007267%2CV2007241%2CV2007246%2CV2007209%22%2C%22time%22%3A%222016-12-09%2014%3A08%3A20%3A311%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:09:33	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A09%3A33%3A766%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:09:48	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A09%3A48%3A622%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:10:51	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A10%3A51%3A180%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:10:54	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%22%2C%22time%22%3A%222016-12-09%2014%3A10%3A54%3A100%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:11:25	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A11%3A25%3A545%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:11:27	4d67d518497ae05b257da182aff3263d.583d18f234a316.08268775	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A11%3A27%3A640%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:11:45	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A11%3A44%3A940%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:11:48	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A11%3A48%3A080%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:13:38	4d67d518497ae05b257da182aff3263d.584a3d829690e2.04993090	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A13%3A38%3A410%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:13:42	4d67d518497ae05b257da182aff3263d.584a3d829690e2.04993090	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A13%3A42%3A276%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:14:11	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A14%3A10%3A853%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:14:15	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A14%3A15%3A331%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:15:02	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A15%3A02%3A193%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:15:05	238100629c2af1426db3d45509695fc6.584a3cdb557140.45176424	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%22%2C%22time%22%3A%222016-12-09%2014%3A15%3A04%3A988%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) FxiOS/5.3 Mobile/14B100 Safari/602.2.14
2016-12-09 14:15:24	4d67d518497ae05b257da182aff3263d.584a3d829690e2.04993090	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A15%3A24%3A767%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:15:27	4d67d518497ae05b257da182aff3263d.584a3d829690e2.04993090	126.254.140.194	pw126254140194.8.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A15%3A27%3A113%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1
2016-12-09 14:17:29	ae61fb4d6920fd1e98401a8e80c7d6e9.584a3e6974b8f0.81083372	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A17%3A29%3A125%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0.1; P024 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.2623.108 Mobile Safari/537.36
2016-12-09 14:18:05	ae61fb4d6920fd1e98401a8e80c7d6e9.584a3e6974b8f0.81083372	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A18%3A04%3A930%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0.1; P024 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.2623.108 Mobile Safari/537.36
2016-12-09 14:18:33	ae61fb4d6920fd1e98401a8e80c7d6e9.584a3e6974b8f0.81083372	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-09%2014%3A18%3A33%3A707%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0.1; P024 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.2623.108 Mobile Safari/537.36
2016-12-09 14:18:37	ae61fb4d6920fd1e98401a8e80c7d6e9.584a3e6974b8f0.81083372	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001948%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-12-09%2014%3A18%3A37%3A277%22%7D/x.js	Mozilla/5.0 (Linux; Android 6.0.1; P024 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.2623.108 Mobile Safari/537.36
